lambda logF blocking_frac
22.9 9.3609 000
23.4 11.1160 779
24.3 11.1089 771
25.2 11.6513 493
25.6 11.5366 723
26.0 11.6837 621
26.6 12.1156 354
27.5 12.0718 410
28.3 12.0887 379
29.3 12.1681 295
30.1 11.6543 817
30.9 12.0403 553
32.5 12.2217 308
34.2 12.2757 195
35.1 12.1567 378
35.6 12.1256 421
36.5 12.1252 412
37.5 12.0775 461
38.4 11.7706 729
40.0 12.0004 522
41.5 12.0262 474
42.5 12.0261 466
44.5 12.0963 330
47.2 12.0702 321
49.4 12.1133 204
50.6 12.0866 238
51.6 12.0983 195
54.0 12.0550 222
56.4 12.0619 156
58.7 12.0435 139
61.2 12.0309 106
64.0 11.9811 141
67.1 11.9793 074
70.5 11.9341 090
73.6 11.9300 026
77.0 11.8629 094
81.0 11.8532 025
85.0 11.8068 038
89.0 11.7783 012
92.0 11.7821 443
94.0 11.8837 256
96.2 11.9468 085
98.7 11.9326 052
101.2 11.9033 057
103.7 11.8614 080
106.2 11.8441 056
108.7 11.8226 042
111.2 11.7915 049
118.7 11.7013 068
121.0 11.6674 088
122.9 11.6541 075
125.4 11.6218 088
128.5 11.5986 070
131.2 11.5654 083
133.7 11.5339 097
136.2 11.4979 121
138.7 11.4858 096
141.0 11.4602 104
143.3 11.4477 084
145.7 11.4305 073
148.2 11.4165 053
150.7 11.3967 047
153.2 11.3609 075
155.7 11.2977 159
158.2 11.3232 061
160.8 11.3025 057
163.5 11.2747 067
166.3 11.2586 050
168.8 11.2368 052
171.2 11.2124 067
173.7 11.2052 033
176.2 11.1878 026
178.7 11.1711 018
181.5 11.1489 014
184.0 11.1298 017
186.2 11.1136 015
189.2 11.0933 009
192.0 11.0717 010
194.0 11.0580 007
196.4 11.0411 004
198.9 11.0214 007
201.2 11.0066 003
203.7 10.9872 006
206.3 10.9775 011
208.8 10.9562 018
211.2 10.9408 015
213.7 10.9254 010
216.2 10.9088 009
218.7 10.8923 008
221.2 10.8755 007
223.7 10.8614 001
226.2 10.8423 007
228.7 10.8258 007
231.2 10.8084 009
233.7 10.7958 001
236.2 10.7794 002
238.7 10.7573 016
241.2 10.7467 005
243.7 10.7303 006
246.2 10.7155 005
248.7 10.6940 019
250.6 10.6825 019
251.9 10.6750 018
253.7 10.6711 002
256.2 10.6563 002
258.7 10.6401 005
261.2 10.6262 003
263.7 10.6126 001
266.2 10.5977 002
268.7 10.5820 005
271.2 10.5696 000
273.7 10.5517 009
276.2 10.5412 001
278.7 10.5268 002
281.2 10.5136 001
283.7 10.4998 001
286.2 10.4863 001
288.7 10.4726 002
291.2 10.4596 001
293.7 10.4465 000
296.2 10.4329 001
298.7 10.4194 002
301.2 10.4053 005
303.7 10.3927 004
306.2 10.3812 001
308.7 10.3686 001
311.2 10.3555 002
313.7 10.3428 003
316.2 10.3310 001
318.7 10.3188 001
321.2 10.3023 010
323.7 10.2946 000
326.2 10.2806 005
328.7 10.2699 002
331.2 10.2583 001
333.7 10.2457 003
336.2 10.2344 002
338.7 10.2227 002
341.2 10.2098 005
343.7 10.1991 003
346.2 10.1877 003
348.7 10.1758 004
351.2 10.1661 000
353.7 10.1545 001
356.2 10.1433 001
358.7 10.1325 000
361.2 10.1210 002
363.6 10.1103 002
366.1 10.1023 030
368.7 10.0902 032
371.2 10.0749 041
373.7 10.0667 036
376.2 10.0479 054
378.7 10.0453 036
381.2 10.0412 022
383.7 10.0223 040
386.2 10.0273 006
388.7 9.9996 045
391.2 10.0062 007
393.7 9.9981 002
396.2 9.9699 042
398.7 9.9754 007
401.2 9.9680 001
403.7 9.9560 006
406.2 9.9473 003
408.7 9.9328 013
411.2 9.9112 040
413.7 9.9188 000
416.2 9.9091 000
418.7 9.8978 004
421.2 9.8886 003
423.7 9.8803 000
426.2 9.8708 000
428.7 9.8613 000
431.2 9.8514 001
433.7 9.8204 050
436.2 9.8312 005
438.7 9.8223 004
441.2 9.8132 003
443.7 9.8046 002
446.2 9.7956 007
448.7 9.7869 001
451.2 9.7781 000
453.7 9.7656 009
456.2 9.7602 001
458.7 9.7514 000
461.2 9.7422 001
463.7 9.7304 008
466.2 9.7233 004
468.7 9.7093 016
471.2 9.7075 000
473.7 9.6990 000
476.2 9.6904 000
478.7 9.6817 000
481.2 9.6732 000
483.7 9.6644 001
486.2 9.6354 047
488.7 9.6475 001
491.2 9.6393 001
493.7 9.6314 000
496.2 9.6230 000
498.7 9.6149 000
502.5 9.6022 001
507.5 9.5861 000
512.5 9.5701 000
517.5 9.5542 000
522.5 9.5383 000
527.5 9.5226 000
532.5 9.5072 000
537.5 9.4919 000
542.5 9.4743 005
547.5 9.4615 000
552.5 9.4465 000
557.5 9.4313 001
562.5 9.4170 000
567.5 9.4021 001
572.5 9.3890 000
577.5 9.3747 000
582.5 9.3590 003
587.5 9.3448 003
592.5 9.3317 001
597.5 9.3177 002
602.5 9.3036 007
607.5 9.2904 001
612.5 9.2767 001
617.5 9.2632 001
622.5 9.2497 002
627.5 9.2370 000
632.5 9.2232 002
637.5 9.2107 000
642.5 9.1971 007
647.5 9.1850 000
652.5 9.1710 003
657.5 9.1490 024
662.5 9.1469 000
667.5 9.1328 004
672.5 9.1217 000
677.5 9.1095 000
682.5 9.0973 000
687.5 9.0839 003
692.5 9.0730 000
697.5 9.0609 000
702.5 9.0491 000
707.5 9.0371 000
715.0 9.0187 002
725.0 8.9964 000
735.0 8.9734 000
745.0 8.9508 000
755.0 8.9276 007
765.0 8.9064 000
775.0 8.8846 000
785.0 8.8632 000
795.0 8.8419 000
805.0 8.8210 006
815.2 8.7998 000
825.2 8.7786 008
835.0 8.7599 006
845.0 8.7400 006
855.0 8.7199 006
865.0 8.7000 007
875.0 8.6808 006
885.0 8.6608 008
895.0 8.6450 001
905.0 8.6230 008
915.0 8.6081 000
925.0 8.5848 011
935.0 8.5702 003
945.0 8.5536 000
955.0 8.5303 013
965.0 8.5182 000
975.0 8.5007 000
985.0 8.4834 000
995.0 8.4663 000
1005.0 8.4431 014
1015.0 8.4301 006
1025.0 8.4159 000
1035.0 8.3994 000
1045.0 8.3832 000
1055.0 8.3670 000
1065.0 8.3510 000
1075.0 8.3351 000
1085.0 8.3192 000
1095.0 8.2970 015
1105.0 8.2883 000
1115.0 8.2730 000
1125.0 8.2581 000
1135.0 8.2431 000
1145.0 8.2282 000
1155.0 8.2134 000
1165.0 8.1968 004
1175.0 8.1841 000
1185.0 8.1697 000
1195.0 8.1553 000
1205.0 8.1412 000
1215.0 8.1271 000
1225.0 8.1131 000
1235.0 8.0992 000
1245.0 8.0854 000
1255.0 8.0718 000
1265.0 8.0583 000
1275.0 8.0443 001
1285.0 8.0241 017
1295.0 8.0182 000
1305.0 8.0051 000
1315.0 7.9921 000
1325.0 7.9791 000
1335.0 7.9663 000
1345.0 7.9535 000
1355.0 7.9408 000
1365.0 7.9283 000
1375.0 7.9158 000
1385.0 7.9034 000
1395.0 7.8911 000
1405.0 7.8788 000
1415.0 7.8667 000
1425.0 7.8546 000
1435.0 7.8427 000
1445.0 7.8308 000
1454.4 7.8197 000
1464.4 7.8089 000
1475.0 7.7965 000
1485.0 7.7850 000
1495.0 7.7735 000
1510.0 7.7563 000
1530.0 7.7336 000
1550.0 7.7112 001
1570.0 7.6890 001
1590.0 7.6668 007
1610.0 7.6453 007
1630.0 7.6247 001
1650.0 7.6030 003
1670.0 7.5828 001
1690.0 7.5616 003
1800.0 7.4533 003
2700.0 6.7540 001
4000.0 6.0714 001
5000.0 5.6823 000
6500.0 5.2238 000
10000.0 4.4694 000
20000.0 3.2534 000
