lambda logF blocking_frac
1045.0 8.2332 000
1055.0 8.2174 000
1065.0 8.2017 000
1075.0 8.1861 000
1085.0 8.1699 002
1095.0 8.1506 011
1105.0 8.1401 000
1115.0 8.1252 000
1125.0 8.1104 000
1135.0 8.0956 000
1145.0 8.0810 000
1155.0 8.0664 000
1165.0 8.0509 003
1175.0 8.0377 000
1185.0 8.0234 000
1195.0 8.0090 001
1205.0 7.9954 000
1215.0 7.9815 000
1225.0 7.9678 000
1235.0 7.9541 000
1245.0 7.9405 000
1255.0 7.9271 000
1265.0 7.9138 000
1275.0 7.8997 003
1285.0 7.8822 012
1295.0 7.8742 000
1305.0 7.8614 000
1315.0 7.8486 000
1325.0 7.8358 000
1335.0 7.8232 000
1345.0 7.8105 000
1355.0 7.7981 000
1365.0 7.7857 000
1375.0 7.7733 000
1385.0 7.7611 000
1395.0 7.7490 000
1405.0 7.7369 000
1415.0 7.7249 000
1425.0 7.7131 000
1435.0 7.7012 000
1445.0 7.6895 000
1454.4 7.6785 000
1464.4 7.6671 002
1475.0 7.6549 002
1485.0 7.6434 002
1495.0 7.6321 002
1510.0 7.6154 002
1530.0 7.5929 002
1550.0 7.5709 002
1570.0 7.5492 002
1590.0 7.5274 003
1610.0 7.5060 003
1630.0 7.4861 001
1650.0 7.4642 003
1670.0 7.4448 001
1690.0 7.4233 004
1800.0 7.3161 004
2700.0 6.6226 002
4000.0 5.9438 001
5000.0 5.5566 001
6500.0 5.0995 000
10000.0 4.3465 000
20000.0 3.1309 000
